jeune,young,youthful,new,juvenile,immature,fresh
calculer,to calculate,to compute,to figure,to reckon,to estimate,to count
comprendre,to understand,to comprehend,to grasp,to realize,to include,to cover
féliciter pour la victoire,to congratulate on the victory,to compliment win,to praise success,to applaud triumph,to celebrate achievement,to wish good
féliciter,to congratulate,to compliment,to praise,to applaud,to celebrate,to wish
forcer une serrure,to force a lock,to compel mechanism,to break closure,to strain fastener,to push barrier,to drive open
forcer,to force,to compel,to break,to strain,to push,to drive
investir dans l'avenir,to invest in the future,to commit to tomorrow,to devote to next,to spend on ahead,to put in coming,to stake prospective
investir,to invest,to commit,to devote,to spend,to put in,to stake
célébrer une victoire,to celebrate a victory,to commemorate win,to observe triumph,to honor success,to praise achievement,to rejoice conquest
célébrer,to celebrate,to commemorate,to observe,to honor,to praise,to rejoice
aller,to go,to come,to run,to walk,to see,to do
arriver,to arrive,to come,to happen,to occur,to reach,to succeed
combattre l'injustice,to fight injustice,to combat unfairness,to battle inequality,to struggle wrong,to oppose wrong,to resist bad
combattre,to fight,to combat,to struggle,to oppose,to resist
monter,to go up,to climb,to rise,to ascend,to increase,to mount
se brosser les dents,to brush teeth,to clean teeth,to use toothbrush,to maintain oral hygiene,to freshen mouth,to care for smile
se laver les mains,to wash hands,to clean hands,to use soap,to sanitize,to rinse,to prepare hygiene
ranger sa chambre,to tidy room,to clean bedroom,to organize space,to put away things,to sort belongings,to make neat
expliquer une idée,to explain an idea,to clarify thought,to describe concept,to share notion,to detail plan,to make clear
expliquer une règle,to explain a rule,to clarify regulation,to account for law,to interpret norm,to elucidate principle,to describe guideline
expliquer,to explain,to clarify,to account for,to interpret,to elucidate,to describe
lire le journal,to read the newspaper,to check news,to see headlines,to read paper,to follow current events,to scan news
chanter,to sing,to chant,to celebrate,to hum,to crow,to praise
lancer une pierre,to throw a stone,to cast rock,to hurl object,to pitch item,to project material,to send flying
jeter,to throw,to cast,to discard,to toss,to reject,to waste
apporter un cadeau,to bring a gift,to carry present,to contribute offering,to add surprise,to supply token,to cause joy
emporter un souvenir,to take away a memory,to carry off recollection,to remove reminder,to win keepsake,to prevail memento,to overcome past
emporter,to take away,to carry off,to remove,to win,to prevail,to overcome
apporter,to bring,to carry,to contribute,to add,to supply,to cause
porter,to wear,to carry,to bear,to support,to bring,to endure
savoir,to know,to can,to think,to believe,to understand,to learn
vouloir,to want,to can,to know,to like,to love,to need
vendre,to sell,to buy,to take,to give,to have,to find
rire aux éclats,to laugh loudly,to burst out laughing,to chuckle loudly,to roar with laughter,to giggle hard,to smile big
rapporter une nouvelle,to report news,to bring back information,to relate update,to yield story,to return tale,to tell event
rapporter,to report,to bring back,to relate,to yield,to return,to tell
détruire un mur,to destroy a wall,to break barrier,to demolish partition,to tear down,to knock over,to ruin structure
baisser la tête,to lower head,to bow,to drop chin,to look down,to bend neck,to submit
mélanger les couleurs,to mix colors,to blend hues,to combine shades,to stir pigments,to create new tone,to merge tones
mélanger,to mix,to blend,to combine,to confuse,to mingle,to stir
penser,to think,to believe,to consider,to imagine,to suppose,to reflect
commencer,to start,to begin,to commence,to initiate,to launch,to open
se fâcher,to get angry,to become mad,to lose temper,to quarrel,to argue,to rage
coûter,to cost,to be expensive,to require,to take,to cause,to entail
coûter cher,to cost a lot,to be expensive,to require much,to take high,to cause high,to entail big
avoir raison,to be right,to be correct,to have truth,to know better,to win argument,to prove point
faire attention,to pay attention,to be careful,to watch out,to take care,to notice,to focus
s'inquiéter,to worry,to be anxious,to fret,to concern,to fear,to stress
s'opposer à un projet,to oppose a project,to be against plan,to resist scheme,to object idea,to counteract proposal,to fight concept
s'opposer,to oppose,to be against,to resist,to object,to counteract,to fight
avoir,to have,to be,to do,to want,to can,to go
nager,to swim,to bathe,to float,to dive,to stroke,to cross
peser les fruits,to weigh the fruits,to balance produce,to ponder options,to assess weight,to measure edible,to evaluate food
échapper à un piège,to escape a trap,to avoid snare,to elude net,to slip away ambush,to get away lure,to miss bait
échapper,to escape,to avoid,to elude,to slip away,to get away,to miss
aider,to help,to assist,to aid,to support,to facilitate,to relieve
évaluer les risques,to evaluate risks,to assess dangers,to appraise perils,to estimate threats,to value hazards,to judge dangers
évaluer,to evaluate,to assess,to appraise,to estimate,to value,to judge
attaquer un problème,to attack a problem,to assault issue,to criticize difficulty,to charge challenge,to raid trouble,to strike obstacle
attaquer,to attack,to assault,to criticize,to charge,to raid,to strike
inviter des amis,to invite friends,to ask friends over,to host people,to call guests,to welcome company,to gather people
remercier pour l'aide,to thank for the help,to appreciate assistance,to be grateful support,to acknowledge aid,to credit help,to reward favor
remercier,to thank,to appreciate,to be grateful,to acknowledge,to credit,to reward
se maquiller,to put on makeup,to apply cosmetics,to beautify face,to use makeup,to enhance appearance,to paint face
changer,to change,to alter,to modify,to switch,to exchange,to transform
avertir d'un danger,to warn of a danger,to alert risk,to notify threat,to caution peril,to inform hazard,to advise trouble
avertir,to warn,to alert,to notify,to caution,to inform,to advise
recommander un livre,to recommend a book,to advise volume,to suggest text,to commend novel,to endorse story,to prescribe tale
recommander,to recommend,to advise,to suggest,to commend,to endorse,to prescribe
jouer,to play,to act,to gamble,to perform,to joke,to sport
réussir,to succeed,to achieve,to win,to pass,to manage,to accomplish
de,of/from,to,with,by,for,at
nom,name,title,designation,appellation,label,term
la montre,watch,timepiece,clock,wristwatch,timekeeper,chronometer
l'année,year,time,day,month,period,age
le jour,day,time,night,week,sun,light
l'heure,hour,time,o'clock,clock,period,moment
l'idée,idea,thought,concept,plan,notion,view
cela,that/it,this,he,she,we,they
ça,that/it (informal),this,he,she,we,they
étroit,narrow,thin,tight,limited,cramped,close
elles dansent bien,they dance well (fem),they sing well,they play well,we dance well,you dance well,he dances well
on,one we,they,you,he,she,it
il y a,there is,there are,it is,he has,I have,we have
ici,here,there,where,now,then,everywhere
la gare,the station,the train station,the airport,the hotel,the restaurant,the shop
le marché,the market,the supermarket,the shop,the station,the restaurant,the hotel
le magasin,the shop,the store,the station,the airport,the hotel,the restaurant
l'aéroport,the airport,the station,the hotel,the restaurant,the shop,the museum
le restaurant,the restaurant,the station,the airport,the hotel,the shop,the museum
l'hôtel,the hotel,the station,the airport,the restaurant,the shop,the museum
de la,some/of the (fem),the,a,an,from,to the
des,some/any (plur),the,a,an,of the,from
du,some/of the (masc),the,a,an,from,to the
un,a/an (masc),the,one,some,any,my
une,a/an (fem),the,one,some,any,my
ce,this/it,that,he,she,we,they
merci beaucoup,thank you very much,thanks a lot,many thanks,you're welcome,please,excuse me
merci,thank you,thanks,please,you're welcome,excuse me,hello
s'il te plaît,please (informal),thank you,excuse me,sorry,hello,goodbye
s'il vous plaît,please,thank you,excuse me,sorry,hello,goodbye
le mot,word,term,phrase,saying,letter,speech
maître,master,teacher,instructor,chief,owner,expert
un café allongé,coffee,tea,drink,milk,juice,espresso
l'eau,water,tea,coffee,wine,juice,milk
haut,high/tall,lofty,upper,elevated,raised
douceur,softness,sweetness,gentleness,mildness,tenderness,smoothness
chéri,darling,sweetheart,dear,love,beloved,honey
le sucre,sugar,sweetener,white,powder,ingredient,sweet
acide,sour/acid,sweet,bitter,salty,spicy,tart
amer,bitter,sweet,sour,salty,spicy,tasty
salé,salty,sweet,bitter,sour,spicy,tasty,dirty
sale,dirty,salty,sweet,bitter,sour,spicy,tasty
épicé,spicy,sweet,salty,bitter,sour,hot
dîner,dinner,supper,evening meal,dine,feast,banquet
la lune,moon,sun,star,night,light,dark
promenade,walk,stroll,amble,saunter,hike,ramble
coup,cut,strike,hit,shot,blow,stroke
la puissance,power,strength,force,ability,energy,might
normal,normal,strange,weird,abnormal,usual,regular
je serai, I will be, I am going to be, I was, I have been, I am, you will be, he will be, she will be
tu seras, you will be, you are going to be, you were, you have been, you are, he will be, we will be, they will be
il sera, he will be, he is going to be, he was, he has been, he is, she will be, they will be, you will be
elle sera, she will be, she is going to be, she was, she has been, she is, he will be, they will be, you will be
nous serons, we will be, we are going to be, we were, we have been, we are, you will be, they will be, I will be
vous serez, you will be, you are going to be, you were, you have been, you are, he will be, we will be, they will be
ils seront, they will be, they are going to be, they were, they have been, they are, he will be, she will be, you will be
l'histoire,history,story,past,tale,account,narrative
le magasin,shop,store,market,supermarket,boutique,retail
cheval,horse,steed,stallion,mare,equine,charger
loi,law,statute,regulation,rule,legislation,act
le début,beginning,start,commencement,onset,opening,introduction
le soleil,sun,star,light,day,heat,moon
la qualité,quality,standard,grade,property,characteristic,feature
l'endurance,endurance,stamina,lasting,power,strength,endure
la place,place,square,spot,position,seat,location
mari,husband,spouse,partner,bridegroom,consort,married man
épouse,wife,spouse,partner,consort,bride,married woman
l'endroit,place,spot,location,site,area,position
le poivre,pepper,spice,black,condiment,seasoning,hot
la parole,word,speech,talk,utterance,statement,voice
parlez plus lentement,speak more slowly (formal),speak slower,repeat please,what did you say,I don't understand,excuse me
la voix,voice,sound,tone,speech,singing,opinion
le bruit,noise,sound,din,racket,disturbance,clamor
sorte,kind,sort,type,variety,category,species
excuse-moi,excuse me (informal),sorry,pardon me,thank you,please,hello
sol,ground,soil,floor,earth,land,terrain
terre,earth/ground/land,soil,world,planet,country,field
dur,hard,soft,easy,tough,difficult,solid
club,club,society,association,group,organization,venue
car,because,so,but,and,or,then
comme,like/as/because,so,but,and,or,than
j'aurai, I will have, I am going to have, I had, I have had, I have, you will have, he will have, she will have
tu auras, you will have, you are going to have, you had, you have had, you have, he will have, we will have, they will have
il aura, he will have, he is going to have, he had, he has had, he has, she will have, they will have, you will have
elle aura, she will have, she is going to have, she had, she has had, she has, he will have, they will have, you will have
nous aurons, we will have, we are going to have, we had, we have had, we have, you will have, they will have, I will have
vous aurez, you will have, you are going to have, you had, you have had, you have, he will have, we will have, they will have
ils auront, they will have, they are going to have, they had, they have had, they have, he will have, she will have, you will have
parce que,because,so,but,and,or,since
intelligent,intelligent,smart,clever,bright,brainy,sharp
salope,bitch,slut,wench,hussy,harlot,shrew
sommeil,sleep,slumber,drowsiness,nap,rest,doze
bonne nuit,good night,sleep well,good evening,good morning,goodbye,hello
le lit,bed,sleep,rest,furniture,room,bedroom
lit,bed,sleep,mattress,couch,room,rest
capitaine,captain,skipper,commander,chief,leader,head
le frère,brother,sister,family,son,father,uncle
jusqu'à,until/up to,since,before,after,during,from
facile,easy,simple,straightforward,effortless,light,uncomplicated
facile,easy,simple,straightforward,difficult,hard,complicated
important,important,significant,major,key,vital,crucial
signe,sign,signal,mark,symbol,indication,omen
l'œil,eye,sight,look,vision,face,see
fermé,closed,shut,locked,sealed,ended,concluded
bas,low,short,base,down,lower,inferior
tir,shot,shooting,firing,fire,aim,marksmanship
surprise,surprise,shock,amazement,astonishment,wonder,startle
bateau,boat,ship,vessel,craft,craft,watercraft
le bateau,boat,ship,vessel,ferry,yacht,water
elle fait,she does,she makes,he does,I do,we do,she goes
il est,he is,she is,it is,you are,we are,they are
elle est allée,she went,she has gone,she will go,he went,we went,they went
il,he it,she,they,you,we,him
superficiel,superficial,shallow,surface,skin-deep,trivial,apparent
on y va,let's go,shall we go,we go,I go,they go,you go
l'ombre,shadow,shade,darkness,silhouette,ghost,trace
drôle,funny,serious,sad,happy,strange,weird
ressenti,feeling,sensation,perception,impression,experience,emotion
choix,choice,selection,pick,option,preference,decision
à demain,see you tomorrow,see you soon,goodbye,hello,thank you,see you later
à bientôt,see you soon,see you later,goodbye,hello,thank you,see you tomorrow
assise,seat,seated,sitting,base,session,assembly
chaise,chair,seat,stool,bench,sofa,table
la chaise,chair,seat,furniture,stool,bench,place
le sel,salt,seasoning,white,condiment,flavor,table
le poisson,fish,seafood,aquatic,food,meal,dish
plan,plan,scheme,blueprint,design,strategy,plot
la peur,fear,scare,dread,terror,anxiety,fright
répétez s'il vous plaît,repeat please (formal),say it again,speak slowly,what is this,I don't know,thank you
sucré,sweet,salty,bitter,sour,spicy,sugary
poivre,pepper,salt,spice,seasoning,chili,powder
sucre,sugar,salt,sweet,honey,candy,syrup
la vendeuse,female seller,saleswoman,vendor,shop assistant,clerk,merchant
le vendeur,seller,salesman,vendor,shop assistant,clerk,merchant
sécurité,security,safety,protection,assurance,defense,guard
heureux,happy,sad,glad,joyful,content,excited
le sac,bag,sack,purse,backpack,handbag,case
poli,polite,rude,kind,nice,friendly,gentle
ligne,line,row,queue,route,track,cord
chambre,bedroom,room,hotel,house,apartment,home
l'espace,space,room,area,place,gap,distance
pièce,piece,room,coin,part,play,component
bâton,stick,rod,cane,staff,pole,bar
la rue,street,road,way,avenue,lane,alley
l'eau,water,river,sea,liquid,drink,beverage
appel,call,ring,appeal,summons,cry,shout
pâtes,pasta,rice,noodles,spaghetti,macaroni,bread
l'effet,effect,result,impact,outcome,consequence,influence
agité,agitated,restless,turbulent,upset,excited,nervous
la récupération,recovery,rest,healing,repair,restore,operation
la similitude,similarity,resemblance,likeness,parallel,analogy,sameness
le besoin,need,requirement,necessity,want,demand,urge
la réponse,answer,reply,solution,response,key,result
repos,rest,relaxation,repose,leisure,break,respite
rapport,report,relation,ratio,connection,account,statement
irrégulier,irregular,regular,random,occasional,frequent,common
le département,department,region,section,area,division,office
la cause,cause,reason,source,origin,root,factor
fait,fact,reality,truth,event,deed,act
vrai,TRUE,real,genuine,actual,correct,right
souvent,often,rarely,never,always,sometimes,usually
commun,common,rare,unusual,ordinary,usual,shared
fréquent,frequent,rare,infrequent,common,usual,regular
gare,station,railway station,train station,depot,terminal,stop
le train,train,railway,locomotive,transport,station,track
la colère,anger,fury,wrath,irritation,resentment,cold,clearance
radio,radio,radio station,broadcast,wireless,receiver,transmission
course,run,race,errand,dash,sprint,jog
calme,calm,quiet,peaceful,tranquil,serene,still
rarement,rare,unusual,out-of-print,active,
calme,calm,quiet,peaceful,tranquil,agitated,nervous
le silence,silence,quiet,stillness,peace,hush,tranquility
rapide,fast,quick,rapid,speedy,swift,prompt
la question,question,query,issue,problem,doubt,ask
l'étudiant,student,pupil,learner,scholar,university,college
la fréquence cardiaque,heart rate,pulse rate,cardiac rhythm,heart beat,cardio,freqence
traction,tractions,pull,drawing,towing,hauling,traction force
bar,bar,pub,tavern,saloon,lounge,counter
avenir,future,prospects,destiny,forthcoming,tomorrow,prospect
offre,offer,proposal,bid,proposition,presentation,tender
profond,deep,profound,intense,far,abyssal,serious
le professeur,teacher,professor,instructor,educator,lecturer,school
les fruits,fruits,produce,food,sweet,healthy,dessert
passé,past,previous,former,bygone,elapsed,previous
fort,strong,powerful,mighty,robust,sturdy,forceful
la force,strength,power,might,force,energy,ability
la situation,situation,position,condition,circumstance,location,status
la moitié,half,portion,part,section,share,moiety
impoli,impolite/rude,polite,kind,nice,friendly,gentle
inutile,useless,pointless,futile,worthless,ineffective,unhelpful
la promesse,promise,pledge,vow,commitment,assurance,guarantee
content,happy,pleased,glad,sad,tired,angry
le jeu,game,play,match,sport,contest,gambling
l'avion,airplane,plane,flight,aircraft,jet,sky
la partie,part,piece,whole,section,bit,share
image,image,picture,photo,illustration,representation,depiction
le médecin,doctor,physician,medic,practitioner,health,professional
la phrase,sentence,expression,word,statement,line,
le chat,cat,pet,animal,dog,horse,friend
le chien,dog,pet,animal,cat,horse,friend
sel,salt,pepper,sugar,spice,seasoning,flavor
baiser,kiss,peck,smooch,smack,bus,oscul
sommet,summit,peak,top,pinnacle,apex,zenith
l'ordinateur,computer,PC,laptop,machine,device,technology
paiement,payment,pay,remuneration,compensation,settlement,reimbursement
riz,rice,pasta,grain,wheat,bread,cereal
passe,pass,passage,permit,ticket,through,approval
l'égalité,legality,parity,equivalence,sameness,balance,fairness
​la fourchette,fork,folk,gab,clotch,spoon,prong
​la cuillère​,spoon,fork,bump,coo,bailer,troll
couple,couple,pair,duo,two,partners,duet
la peine,pain,sorrow,grief,trouble,difficulty,effort
feuille,leaf/paper,page,sheet,note,document,book
au-dessus de,above,au-delà,sauf,plus de,except,include
au-delà,beyond,after,fully,over,behind,far away
pas,step,pace,footstep,stride,move,walk
général,general,overall,chief,common,widespread,universal
le résultat,result,outcome,effect,score,product,answer
extraordinaire,extraordinary,ordinary,normal,common,usual,amazing
et,and,or,but,so,then,also
il faut,it is necessary,one must,we must,you must,they must,he must
dans,in/inside,on,at,to,from,under
sous,under,on,in,at,to,over
ancien,ancient,old,former,previous,antique,bygone
nouveau,new,old,modern,fresh,young,recent
officier,officer,official,executive,agent,representative,authority
crime,crime,offense,felony,misdemeanor,violation,transgression
mer,sea,ocean,water,lake,river,beach
la chose,thing,object,item,stuff,piece,bit
plus tard,later,now,soon,then,today,yesterday
le livre,book,novel,story,page,chapter,read
tout,all/everything,nothing,something,anything,none,some
message,message,note,communication,dispatch,transmission,word
aussi,also/too,not,never,always,sometimes,often
étrange,strange,normal,usual,weird,odd,funny
les pâtes,pasta,noodles,food,Italian,carb,dish
tous,all (masc pl),none,some,each,every,both
toutes,all (fem pl),none,some,each,every,both
le son,sound,noise,tone,ring,call,audio
de rien,you're welcome,no problem,not at all,thank you,please,sorry
oui,yes,no,maybe,okay,sure,perhaps
le soir,evening,night,morning,day,dusk,sunset
gentil,kind,nice,gentle,pleasant,friendly,good
joli,pretty,nice,beautiful,ugly,good,bad
vieux,old,new,ancient,classic,used,aged
quelquefois,sometimes,never,always,often,rarely,usually
toujours,always,never,sometimes,often,rarely,usually
pauvre,poor,needy,impoverished,broke,indigent,meager
propre,clean,neat,tidy,pure,own,proper
méchant,mean,naughty,wicked,evil,cruel,bad
le pays,country,nation,state,land,region,kingdom
mien,mine,my own,belonging to me,my possession,my property,miel
peu,little/few,much,many,a lot,enough,too much
film,film,movie,motion picture,cinema,picture,flick
la dent,tooth,mouth,bite,eat,smile,pain
la moto,motorcycle,motorbike,bike,vehicle,ride,engine
le père,father,mother,parent,dad,son,brother
moins,less,more,least,most,many,few
maman,mom,mommy,mother,mama,mum,mumma
la minute,minute,moment,small time,sixty seconds,brief,short
la seconde,second,moment,brief time,unit,time,short
humide,wet,moist,damp,humid,soggy,watery
faute,fault,mistake,error,blame,defect,flaw
l'erreur,error,mistake,fault,inaccuracy,blunder,slip
absent,absent,missing,away,not present,gone,unavailable
la tête,head,mind,brain,top,leader,face
armée,army,military,forces,troops,soldiers,armed forces
déjeuner,lunch,midday meal,noon meal,light meal,dine,luncheon
le métro,metro,underground,train,transport,city,tram
le système,system,method,setup,network,structure,process
poisson,fish,meat,seafood,animal,chicken,bird
poulet,chicken,meat,bird,turkey,duck,egg
sens,sense,meaning,direction,feeling,perception,understanding
la nourriture,food,meal,dish,plate,breakfast,dinner
merveille,wonder,marvel,miracle,amazement,spectacle,phenomenon
façon,way,manner,method,mode,fashion,approach
humain,human,man,person,being,individual,mortal
la femme,woman,man,person,child,friend,adult
la personne,person,man,woman,child,individual,someone
la valise,suitcase,luggage,bag,travel,case,box
la beauté,beauty,loveliness,attractiveness,grace,prettiness,charm
le pain,bread,loaf,food,bakery,breakfast,meal
charge,charge,load,burden,responsibility,duty,fee
beaucoup,a lot/much/many,little,few,enough,too much,hardly
petit,small,little,big,young,old,short
l'huile,oil,liquid,fat,cooking,olive,vegetable
la bouche,mouth,lips,talk,eat,speak,voice
l'amour,love,like,affection,passion,friendship,hate
sang,blood,lifeblood,vein,artery,plasma,red cells
la liberté,freedom,liberty,independence,autonomy,release,choice
lent,slow,lethargic,sluggish,delayed,tardy,gradual
lent,slow,lethargic,sluggish,fast,quick,good
plus,more,less,most,least,many,few
long,long,lengthy,extended,tall,prolonged,drawn-out
le pied,foot,leg,base,step,walk,shoe
gauche,left,le port,gauche side,sinister,port side,right
police,police,law enforcement,officers,force,constabulary,cops
droit,right,law,entitlement,claim,privilege,justice
maintenant,now,later,soon,then,today,yesterday
grand,big,large,great,tall,small,good
garçon,boy,lad,youth,son,kid,child
cruel,cruel,kind,gentle,nice,mean,evil
type,type,kind,sort,category,variety,classification
l'enfant,child,kid,boy,girl,adult,friend
attends une minute,wait a minute,just a second,hold on,one moment,wait please,stop
le bonheur,happiness,joy,bliss,contentment,delight,pleasure
le travail,work,job,employment,career,office,task
il pleut,it's raining,it's snowing,it's sunny,it's windy,it's cloudy,it's hot
ça va bien,I'm fine,it's going well,all good,I'm okay,it's great,everything fine
c'est trop cher,it's too expensive,it's expensive,it's cheap,it's good,it's bad,it's okay
c'est bon,it's good,it's delicious,it's okay,it's fine,it's nice,it's great
il fait beau,it's nice weather,it's beautiful,it's sunny,it's bad weather,it's raining,it's cold
il est huit heures,it is eight o'clock,it is nine o'clock,it is seven o'clock,what time is it,it's late,it's early
le problème,problem,issue,difficulty,question,trouble,challenge
régulier,regular,irregular,random,occasional,frequent,common
pause,break,intermission,hiatus,interval,recess,stop
intérieur,inside,interior,inner,indoor,within,inward
le moment,moment,instant,time,point,occasion,minute
entre,enter,inside,outside,around,near,far
bébé,baby,infant,toddler,newborn,child,babe
coupure,cut,incision,slit,snip,clip,interruption
derrière,behind,in front of,next to,above,below,inside
chez, at, of,in,on,to,from,with
sur,on/over,in,at,to,from,under
ça va bien,it's going well,I'm fine,all good,it's okay,I'm good,everything fine
bâtard,bastard,illegitimate child,mongrel,mix,hybrid,cur
imbécile,fool,idiot,dummy,moron,blockhead,dunce
la pensée,thought,idea,mind,thinking,reflection,opinion
je veux de l'eau,I want water,I would like water,we want water,they want water,he wants water,she wants water
je voudrais un café,I would like a coffee,I would like tea,I want water,he wants coffee,we want coffee,she wants coffee
je sais,I know,I think,I believe,I understand,I learn,I see
je travaille demain,I work tomorrow,I study tomorrow,we work tomorrow,they work tomorrow,she works tomorrow,he works tomorrow
vous parlez français,you speak French (formal/plural),I speak French,he speaks French,we speak French,they speak French,she speaks French
j'habite à...,I live in...,I reside in...,we live in...,they live in...,he lives in...,she lives in...
tu joues au tennis,you play tennis (informal),I play tennis,he plays tennis,we play tennis,they play tennis,she plays tennis
je joue au foot,I play football,I play soccer,I watch football,he plays football,we play football,she plays football
je cherche...,I'm looking for...,I need...,I want...,he is looking for...,we are looking for...,they are looking for...
je dois partir,I have to leave,I must go,I need to go,we have to leave,they have to leave,she has to leave
je dois,I have to,I must,I need to,he has to,we have to,she has to
je fais,I do,I make,I go,I am,I think,I have
il faut que je...,I need to...,I have to...,we need to...,they need to...,he needs to...,she needs to...
je ne sais pas,I don't know,I have no idea,we don't know,they don't know,he doesn't know,she doesn't know
je suis allé,I went (masc),I have gone,I will go,he went,we went,she went
je n'aime pas,I don't like,I dislike,I hate,we don't like,they don't like,she doesn't like
je ne comprends pas,I don't understand,I can't understand,we don't understand,they don't understand,he doesn't understand,she doesn't understand
je veux,I want,I can,I need,I like,I love,I know
je pense que...,I think that...,I believe that...,I know that...,he thinks that...,we think that...,she thinks that...
je pense,I think,I believe,I know,I say,I go,he thinks
j'ai vingt ans,I am twenty,I am thirty,I am fifteen,he is twenty,we are twenty,she is twenty
je vais au travail,I go to work,I am going to work,we go to work,they go to work,she goes to work,he goes to work
je vais,I go,I am going,I come,I want,I can,she goes
je suis content,I am happy (masc),I am glad,I am pleased,she is happy,we are happy,they are happy
je viens de...,I come from...,I am from...,we come from...,they come from...,he comes from...,she comes from...
je m'appelle...,my name is...,I am called...,what is your name,he is called,we are called,they are called
tu es,you are,I am,he is,she is,we are,they are
j'adore...,I love...,I really like...,we love...,they love...,he loves...
tu,you (informal),I,he,she,we,they
le supermarché,supermarket,hypermarket,grocery,store,shop,food
hâte,haste,hurry,rush,urgency,quickness,speed
la couleur,color,hue,shade,tint,pigment,appearance
ça va ?,how are you?,how's it going?,are you okay?,I'm fine,it's good,what's up
combien ça coûte,how much does it cost,how much is it,what is the price,how expensive,how cheap,what is this
quel temps fait-il,what's the weather like,how is the weather,it's nice,it's bad,what time is it,where are you
comment tu t'appelles,what is your name (informal),how are you,where are you from,what do you do,how old are you,who are you
tiède,lukewarm/tepid,hot,cold,warm,cool,chilly
honneur,honor,honour,glory,prestige,dignity,respect
meurtre,murder,homicide,killing,slaying,assassination,manslaughter
la maison,house,home,building,room,place,family
cachette,hiding place,hideout,secret place,concealment,refuge,shelter
secret,secret,hidden,confidential,private,classified,covert
bonjour,hello,hi,good morning,good day,goodbye,thanks
là,there,here,where,now,then,everywhere
là-bas,over there,here,there,where,now,then
utile,useful,helpful,beneficial,practical,handy,valuable
service,service,help,assistance,duty,department,work
le pouls,pulse,heart,beat,rate,flow,pull
l'oreille,ear,hearing,sound,listen,side,head
le cheveu,hair,head,strand,style,color,cut
le visage,face,head,look,expression,side,front
il regarde la télévision,he watches television,he watches TV,she watches TV,I watch TV,we watch TV,they watch TV
elle lit un livre,she reads a book,he reads a book,I read a book,we read a book,they read a book,you read a book
elle est contente,she is happy (fem),he is happy,I am happy,we are happy,they are happy,you are happy
je suis,I am,he is,she is,we are,you are,they are
elle,she it,he,they,you,we,her
elles,they (fem),he,she,we,you,us
ils,they (masc),he,she,we,you,us
bon appétit,enjoy your meal,have a good meal,good appetite,thank you,please,hello
haine,hate,hatred,animosity,loathing,aversion,hostility
difficile,difficult,hard,tough,challenging,complicated,arduous
mou,soft,hard,firm,tender,weak,flexible
triste,sad,happy,down,unhappy,melancholy,depressed
la joie,joy,happiness,delight,glee,pleasure,bliss
beau,beautiful,handsome,pretty,ugly,nice,fine
salle,room/hall,hall,room,space,area,building
fusil,rifle,gun,firearm,shotgun,weapon,musket
ensemble,together,group,whole,unit
poignée,handle,grip,knob,hilt,handful,bunch
bienvenue,welcome,greeting,reception,admission,acceptance,hello
les légumes,vegetables,greens,produce,food,healthy,diet
le riz,rice,grain,food,side dish,white,staple
robe,dress,gown,frock,robe,garment,attire
bonne journée,have a good day,good morning,have a nice day,good evening,thank you,hello
mauvais,bad,good,terrible,awful,nice,wrong
la tristesse,sadness,gloom,melancholy,sorrow,unhappiness,depression
la fenêtre,window,glass,pane,opening,view,light
la fille,daughter,girl,child,son,mother,sister
sexe,sex,gender,sexuality,intercourse,biology,kind
porte,door,gate,entrance,exit,window,key
sérieux,serious,funny,silly,joking,playful,light
la banane,banana,fruit,yellow,tropical,sweet,peel
la pomme,apple,fruit,red,green,healthy,sweet
les légumes,vegetables,fruit,meat,fish,cheese,bread
l'orange,orange,fruit,citrus,juice,color,sweet
vers,toward,from,at,in,on,by
à,to/at/in,from,with,by,for,of
sympathique,nice,friendly,kind,pleasant,mean,bad
la famille,family,friend,house,parents,children,home
l'amie,female friend,friend,companion,pal,buddy,partner
la faiblesse,weakness,frailty,feebleness,debility,vulnerability,flaw
idiot,idiot,fool,dummy,moron,blockhead,dunce
cuisine,kitchen/cooking,food,meal,restaurant,cook,chef
l'œuf,egg,food,breakfast,protein,shell,chicken
gens,people,folks,individuals,persons,crowd
attention,attention,focus,concentration,care,heed,notice
la viande,meat,flesh,beef,pork,food,protein
feu,fire,flame,heat,light,smoke,burn
banque,bank,financial institution,lender,depository,credit union,bulk
sale,dirty,filthy,grubby,messy,unclean,soiled
le corps,body,figure,form,shape,person,health
faible,weak,feeble,frail,fragile,delicate,ineffective
possible,possible,feasible,likely,attainable,probable,doable
la mère,mother,father,parent,mom,daughter,sister
intéressant,interesting,fascinating,engaging,intriguing,compelling,notable
le mensonge,lie,falsehood,deception,untruth,fib,story
la justice,justice,fairness,righteousness,law,equity,morality
le marché,market,fair,bazaar,trade,exchange,place
la vérité,truth,fact,reality,accuracy,honesty,correctness
figure,figure,face,shape,number,diagram,form
ordinaire,ordinary,extraordinary,special,common,usual,regular
cher,dear,expensive,costly,precious,valued,beloved
espoir,hope,expectation,aspiration,wish,dream,optimism
fatigué,tired,exhausted,energetic,happy,sad,good
pardon,sorry,thank you,please,hello
test,test,exam,trial,check,assessment,evaluation
preuve,proof,evidence,demonstration,testimony,verification,substantiation
âge,age,era,period,time,epoch,generation
la porte,door,entrance,gate,exit,way,opening
amusement,entertainment,enjoyment,pleasure,recreation,pastime
trop,too much/too,enough,very,so,quite,little
