jeune,молодой,стол,окно,книга,дверь,кошка
contraster deux стиля,контрастировать два стиля,сравнить два стиля,сочетать два стиля,смешать два стиля,объединить два стиля,разделить два стиля
contraster,контрастировать,отличаться,различаться,выделяться,противопоставляться,сравниваться
inventer une машину,изобрести машину,создать машину,построить машину,купить машину,продать машину,потерять машину
inventer,изобретать,придумывать,создавать,творить,выдумывать,фантазировать
détester,ненавидеть,презирать,отвращать,не любить,не терпеть,не выносить
décider,решать,определять,устанавливать,назначать,выбирать,предпочитать
valoir la peine,стоить того,заслуживать внимания,заслуживать усилия,заслуживать времени,заслуживать денег,заслуживать усилий
valoir,стоить,заслуживать,цениться,иметь ценность,иметь значение,иметь вес
descendre,спускаться,опускаться,снижаться,падать,падать,падать
décrire un paysage,описать пейзаж,нарисовать пейзаж,сфотографировать пейзаж,увидеть пейзаж,посетить пейзаж,забыть пейзаж
décrire,описывать,характеризовать,изображать,рисовать,представлять,излагать
peindre,рисовать,красить,изображать,писать,творить,создавать
partir,уходить,уезжать,улетать,уплывать,отправляться,отбывать
diffuser,транслировать,распространять,передавать,вещать,показывать,публиковать
détruire,уничтожать,разрушать,ломать,крушить,рушить,губить
rêver d'avenir,мечтать о будущем,бояться будущего,избегать будущего,забыть будущее,пропустить будущее,игнорировать будущее
rêver,мечтать,грезить,видеть сны,фантазировать,воображать,представлять
faire du vélo,кататься на велосипеде,ездить на велосипеде,крутить педали,крутить колёса,крутить руль,крутить седло
blâmer le retard,винить задержку,обвинять задержку,критиковать задержку,осуждать задержку,ругать задержку,наказывать задержку
blâmer,винить,обвинять,критиковать,осуждать,ругать,наказывать
conseiller un друга,посоветовать другу,помочь другу,поддержать друга,защитить друга,спасти друга,выручить друга
conseiller,советовать,рекомендовать,предлагать,предписывать,наставлять,руководить
préparer le dîner,приготовить ужин,сделать ужин,заказать ужин,купить ужин,продать ужин,потерять ужин
persuader le public,убедить публику,уговорить публику,склонить публику,заставить публику,принудить публику,вынудить публику
persuader,убеждать,уговаривать,склонять,заставлять,принуждать,вынуждать
opposer deux идеи,противопоставить две идеи,сравнить две идеи,сочетать две идеи,смешать две идеи,объединить две идеи,разделить две идеи
comparer deux книги,сравнить две книги,сопоставить две книги,противопоставить две книги,объединить две книги,разделить две книги,смешать две книги
comparer,сравнивать,сопоставлять,противопоставлять,сличать,сличать,соотносить
opposer,противопоставлять,противодействовать,сопротивляться,возражать,отвергать,отказывать
construire une maison,построить дом,создать дом,сделать дом,купить дом,продать дом,потерять дом
construire,строить,возводить,сооружать,создавать,делать,строить
peser,взвешивать,мерить,оценивать,определять,вычислять,рассчитывать
environ,около,примерно,приблизительно,где-то,где-то,где-то
en raison de,из-за,вследствие,по причине,ввиду,в силу,по поводу
près de,около,рядом,близко,возле,у,недалеко от
cacher un секрет,скрыть секрет,спрятать секрет,защитить секрет,забыть секрет,потерять секрет,пропустить секрет
cacher,скрывать,прятать,маскировать,заслонять,закрывать,утаивать
calculer le total,вычислить сумму,посчитать сумму,рассчитать сумму,определить сумму,узнать сумму,найти сумму
calculer,вычислять,считать,рассчитывать,подсчитывать,производить вычисления,производить расчёты
comprendre,понимать,осознавать,осмысливать,постигать,разуметь,схватывать
féliciter pour la победу,поздравить с победой,поздравить с успехом,поздравить с достижением,поздравить с результатом,поздравить с выигрышем,поздравить с триумфом
féliciter,поздравлять,приветствовать,восхвалять,хвалить,одобрять,поощрять
forcer une serrure,взломать замок,открыть замок,закрыть замок,починить замок,купить замок,продать замок
forcer,заставлять,принуждать,вынуждать,давить,нажимать,толкать
investir dans l'avenir,инвестировать в будущее,вкладывать в будущее,тратить на будущее,экономить на будущее,беречь будущее,сохранять будущее
investir,инвестировать,вкладывать,помещать,размещать,распределять,распределять
célébrer une победу,праздновать победу,отмечать победу,торжествовать победу,радоваться победе,веселиться по поводу победы,гулять по поводу победы
célébrer,праздновать,отмечать,торжествовать,радоваться,веселиться,гулять
aller,идти,ходить,ехать,ездить,лететь,летать
arriver,прибывать,приезжать,прилетать,приплывать,достигать,достигать
combattre l'injustice,бороться с несправедливостью,бороться против несправедливости,бороться за справедливость,бороться за правду,бороться за свободу,бороться за равенство
combattre,бороться,сражаться,воевать,противостоять,сопротивляться,бороться
monter,подниматься,взбираться,восходить,карабкаться,лазить,лезть
se brosser les dents,чистить зубы,полоскать зубы,лечить зубы,вырвать зубы,вставить зубы,отбелить зубы
se laver les mains,мыть руки,сушить руки,вытирать руки,чесать руки,греть руки,массировать руки
ranger sa chambre,убирать комнату,прибирать комнату,чистить комнату,мыть комнату,проветривать комнату,украшать комнату
expliquer une idée,объяснить идею,понять идею,запомнить идею,забыть идею,потерять идею,пропустить идею
expliquer une règle,объяснить правило,понять правило,запомнить правило,забыть правило,потерять правило,пропустить правило
expliquer,объяснять,разъяснять,толковать,истолковывать,пояснять,прояснять
lire le journal,читать газету,покупать газету,продавать газету,терять газету,находить газету,забывать газету
chanter,петь,напевать,горланить,орать,кричать,вопить
lancer une pierre,бросить камень,кинуть камень,метнуть камень,запустить камень,отправить камень,послать камень
jeter,бросать,кидать,метать,выбрасывать,отбрасывать,швырять
apporter un cadeau,принести подарок,привезти подарок,привести подарок,доставить подарок,передать подарок,вручить подарок
emporter un сувенир,унести сувенир,увезти сувенир,забрать сувенир,получить сувенир,купить сувенир,продать сувенир
emporter,уносить,увозить,забирать,получать,покупать,продавать
apporter,приносить,привозить,доставлять,передавать,вручать,предоставлять
porter,носить,одевать,надеть,снять,взять,держать
savoir,знать,уметь,понимать,осознавать,осмысливать,постигать
vouloir,хотеть,желать,стремиться,жаждать,мечтать,надеяться
vendre,продавать,торговать,сбывать,реализовывать,отпускать,отдавать
rire aux éclats,громко смеяться,тихо смеяться,молча смеяться,беззвучно смеяться,сдержанно смеяться,скромно смеяться
rapporter une новость,сообщить новость,передать новость,рассказать новость,услышать новость,узнать новость,забыть новость
rapporter,сообщать,передавать,рассказывать,приносить,возвращать,доставлять
détruire un стену,разрушить стену,сломать стену,построить стену,починить стену,покрасить стену,украсить стену
baisser la tête,опустить голову,поднять голову,повернуть голову,наклонить голову,запрокинуть голову,спрятать голову
mélanger les couleurs,смешать цвета,разделить цвета,разложить цвета,рассортировать цвета,упорядочить цвета,систематизировать цвета
mélanger,смешивать,перемешивать,смешать,смешать,смешать,смешать
penser,думать,мыслить,размышлять,рассуждать,соображать,медитировать
commencer,начинать,начать,запускать,открывать,стартовать,инициировать
se fâcher,злиться,сердиться,гневаться,возмущаться,негодовать,яриться
coûter,стоить,обходиться,требовать,нуждаться,нуждаться,нуждаться
coûter cher,дорого стоить,дешево стоить,бесплатно стоить,доступно стоить,недорого стоить,выгодно стоить
avoir raison,быть правым,быть неправым,быть точным,быть верным,быть правильным,быть справедливым
faire attention,обращать внимание,быть внимательным,быть осторожным,быть бдительным,быть начеку,быть настороже
s'inquiéter,беспокоиться,тревожиться,волноваться,нервничать,переживать,страдать
s'opposer à un проект,противостоять проекту,поддерживать проект,одобрять проект,помогать проекту,содействовать проекту,способствовать проекту
s'opposer,противостоять,сопротивляться,возражать,отвергать,отказывать,отказываться
avoir,иметь,обладать,владеть,держать,хранить,сохранять
nager,плавать,купаться,нырять,грести,переплывать,пересекать
peser les фрукты,взвесить фрукты,измерить фрукты,посчитать фрукты,оценить фрукты,определить фрукты,узнать фрукты
échapper à un pièге,избежать ловушки,уйти от ловушки,спасти от ловушки,защитить от ловушки,уберечь от ловушки,охранить от ловушки
échapper,избегать,уклоняться,избегать,избегать,избегать,избегать
aider,помогать,помочь,содействовать,способствовать,поддерживать,поддерживать
évaluer les риски,оценить риски,измерить риски,посчитать риски,определить риски,узнать риски,вычислить риски
évaluer,оценивать,измерять,определять,вычислять,рассчитывать,анализировать
attaquer un проблему,атаковать проблему,решить проблему,избежать проблему,игнорировать проблему,забыть проблему,пропустить проблему
attaquer,атаковать,нападать,наступать,штурмовать,брать,захватывать
inviter des друзей,пригласить друзей,позвать друзей,собрать друзей,встретить друзей,увидеть друзей,услышать друзей
remercier pour la помощь,поблагодарить за помощь,отблагодарить за помощь,вознаградить за помощь,оценить за помощь,признать за помощь,отметить за помощь
remercier,благодарить,благодарить,благодарить,благодарить,благодарить,благодарить
se maquiller,краситься,накрашиваться,макияжиться,украшать,украшать,украшать
changer,менять,изменять,переменять,преобразовывать,трансформировать,модифицировать
avertir d'un опасности,предупредить об опасности,предостеречь от опасности,защитить от опасности,уберечь от опасности,охранить от опасности,спасти от опасности
avertir,предупреждать,предостерегать,извещать,уведомлять,оповещать,сообщать
recommander un книгу,рекомендовать книгу,посоветовать книгу,предложить книгу,порекомендовать книгу,одобрить книгу,похвалить книгу
recommander,рекомендовать,советовать,предлагать,предписывать,наставлять,руководить
jouer,играть,разыгрывать,шутить,забавляться,веселиться,резвиться
réussir,преуспевать,достигать,добиваться,выигрывать,побеждать,торжествовать
de,из,от,с,для,к,на
nom,имя,название,термин,слово,понятие,обозначение
la montre,часы,время,будильник,таймер,хронометр,секундомер
l'année,год,лето,зима,весна,осень,месяц
le jour,день,ночь,утро,вечер,полдень,полночь
l'heure,час,время,минута,секунда,момент,период
l'idée,идея,мысль,понятие,представление,мнение,взгляд
cela,это,то,оно,он,она,они
ça,это,то,оно,он,она,они
étroit,узкий,широкий,большой,маленький,длинный,короткий
elles dansent bien,они танцуют хорошо,они поют хорошо,они играют хорошо,они рисуют хорошо,они пишут хорошо,они читают хорошо
on,мы,они,вы,я,он,она
il y a,есть,имеется,находится,существует,присутствует,имеется
ici,здесь,там,где,когда,почему,как
la gare,вокзал,станция,аэропорт,порт,пристань,терминал
le marché,рынок,базар,магазин,лавка,торг,ярмарка
le magasin,магазин,лавка,склад,хранилище,помещение,здание
l'aéroport,аэропорт,аэродром,терминал,взлётная полоса,ангар,диспетчерская
