cet, этот, тот, данный, указанный, конкретный, такой
le tiroir, ящик, выдвижной ящик, мебельный ящик, кухонный ящик, хранилище в столе, выдвижная секция, внутренний отсек
l'étagère, полка, книжная полка, настенная полка, открытая полка, мебель для книг, горизонтальная поверхность, стеллажная полка
le bureau, письменный стол, офисный стол, рабочий стол, мебель для работы, стол с ящиками, компьютерный стол, деловой стол
l'ordinateur, компьютер, персональный компьютер, ноутбук, электронное устройство, системный блок, экранный аппарат, вычислительная машина
l'écran, экран, монитор, дисплей, телевизионный экран, плоский экран, жидкокристаллический экран, поверхность отображения
le clavier, клавиатура, компьютерная клавиатура, наборная панель, кнопочная панель, устройство ввода, механическая клавиатура, печатная панель
la souris, мышь, компьютерная мышь, указательное устройство, кликающее устройство, беспроводная мышь, грызун (в шутку)
le téléphone, телефон, мобильный телефон, смартфон, аппарат связи, сотовый телефон, трубка, устройство связи
la lampe, лампа, настольная лампа, светильник, осветительный прибор, торшер, электрическая лампа, источник света
la fenêtre, окно, оконный проём, стеклянное окно, вид из окна, открывающееся окно, световой проём, фасадное окно
la porte, дверь, входная дверь, деревянная дверь, межкомнатная дверь, открывающаяся дверь, проход, дверной проём
le mur, стена, кирпичная стена, внутренняя стена, перегородка, вертикальная поверхность, несущая стена, боковая поверхность
le plafond, потолок, верхняя часть комнаты, подвесной потолок, белый потолок, верхнее перекрытие, крыша комнаты, горизонтальная верхняя поверхность
le sol, пол, напольное покрытие, деревянный пол, плиточный пол, поверхность для ходьбы, нижняя часть комнаты, основание
le tapis, ковёр, ковровое покрытие, мягкий ковёр, напольный ковёр, декоративный ковёр, тёплый ковёр, половой ковёр
le rideau, штора, занавеска, оконная штора, тканевая штора, декоративная штора, плотная штора, оконный текстиль
la cuisine, кухня, кухонное помещение, место приготовления пищи, кулинарная зона, рабочая кухня, помещение с плитой, пищеблок
la salle de bain, ванная комната, санузел, место гигиены, помещение с душем, комната для мытья, влажное помещение, банная комната
les toilettes, туалет, уборная, WC, санузел, место справления нужды, унитазная комната, гигиеническое помещение
le jardin, сад, приусадебный участок, цветочный сад, огород, зелёная зона, двор с растениями, ландшафтный участок
le garage, гараж, автомобильный гараж, место для машины, крытый паркинг, хозяйственное помещение, бокс для транспорта, автостоянка
la cave, подвал, погреб, подвальное помещение, хранилище вина, нижний этаж, подземное помещение, складское помещение
le grenier, чердак, мансарда, верхнее помещение, склад на чердаке, пыльный чердак, пространство под крышей, верхний этаж  


