cet, этот, тот, данный, указанный, конкретный, такой
les lunettes, очки, зрительные очки, солнцезащитные очки, оправы, корректирующие очки, аксессуар для зрения, стеклянные очки
le parapluie, зонт, дождевой зонт, складной зонт, защитный зонт, большой зонт, дождезащитный предмет, складной дождевой зонт
le miroir, зеркало, отражающая поверхность, настенное зеркало, туалетное зеркало, стеклянное зеркало, отражение, большое зеркало
la table, стол, обеденный стол, письменный стол, мебель для еды, деревянный стол, рабочая поверхность, кухонный стол
la chaise, стул, сиденье, деревянный стул, офисный стул, мягкий стул, мебель для сидения, четырёхногая мебель
le canapé, диван, мягкий диван, угловой диван, мебель для отдыха, кожаный диван, большой диван, сиденье для нескольких человек
le lit, кровать, спальное место, двуспальная кровать, мягкая кровать, деревянная кровать, мебель для сна, матрасная основа
l'armoire, шкаф, платяной шкаф, мебель для хранения, деревянный шкаф, большой шкаф, гардеробный шкаф, закрытая мебель
le placard, шкафчик, кухонный шкаф, встроенный шкаф, маленький шкаф, мебель для посуды, настенный шкаф, закрытое хранилище
le tiroir, ящик, выдвижной ящик, мебельный ящик, кухонный ящик, хранилище в столе, выдвижная секция, внутренний отсек
l'étagère, полка, книжная полка, настенная полка, открытая полка, мебель для книг, горизонтальная поверхность, стеллажная полка
le bureau, письменный стол, офисный стол, рабочий стол, мебель для работы, стол с ящиками, компьютерный стол, деловой стол
l'ordinateur, компьютер, персональный компьютер, ноутбук, электронное устройство, системный блок, экранный аппарат, вычислительная машина
l'écran, экран, монитор, дисплей, телевизионный экран, плоский экран, жидкокристаллический экран, поверхность отображения
le clavier, клавиатура, компьютерная клавиатура, наборная панель, кнопочная панель, устройство ввода, механическая клавиатура, печатная панель
la souris, мышь, компьютерная мышь, указательное устройство, кликающее устройство, беспроводная мышь, грызун (в шутку)
le téléphone, телефон, мобильный телефон, смартфон, аппарат связи, сотовый телефон, трубка, устройство связи
la lampe, лампа, настольная лампа, светильник, осветительный прибор, торшер, электрическая лампа, источник света
la fenêtre, окно, оконный проём, стеклянное окно, вид из окна, открывающееся окно, световой проём, фасадное окно
la porte, дверь, входная дверь, деревянная дверь, межкомнатная дверь, открывающаяся дверь, проход, дверной проём
le mur, стена, кирпичная стена, внутренняя стена, перегородка, вертикальная поверхность, несущая стена, боковая поверхность
le plafond, потолок, верхняя часть комнаты, подвесной потолок, белый потолок, верхнее перекрытие, крыша комнаты, горизонтальная верхняя поверхность
le sol, пол, напольное покрытие, деревянный пол, плиточный пол, поверхность для ходьбы, нижняя часть комнаты, основание
le tapis, ковёр, ковровое покрытие, мягкий ковёр, напольный ковёр, декоративный ковёр, тёплый ковёр, половой ковёр
le rideau, штора, занавеска, оконная штора, тканевая штора, декоративная штора, плотная штора, оконный текстиль
la cuisine, кухня, кухонное помещение, место приготовления пищи, кулинарная зона, рабочая кухня, помещение с плитой, пищеблок
la salle de bain, ванная комната, санузел, место гигиены, помещение с душем, комната для мытья, влажное помещение, банная комната
les toilettes, туалет, уборная, WC, санузел, место справления нужды, унитазная комната, гигиеническое помещение
le jardin, сад, приусадебный участок, цветочный сад, огород, зелёная зона, двор с растениями, ландшафтный участок
le garage, гараж, автомобильный гараж, место для машины, крытый паркинг, хозяйственное помещение, бокс для транспорта, автостоянка
la cave, подвал, погреб, подвальное помещение, хранилище вина, нижний этаж, подземное помещение, складское помещение
le grenier, чердак, мансарда, верхнее помещение, склад на чердаке, пыльный чердак, пространство под крышей, верхний этаж  
le ciel, небо, небосвод, высь, небеса, небесная сфера, воздушное пространство
le nuage, облако, туча, облачко, белое облако, пушистое образование, небесное скопление
le soleil, солнце, светило, дневное светило, звезда, жаркий шар, источник тепла
la lune, луна, спутник Земли, ночное светило, серебристый диск, небесное тело, лунный серп
l'étoile, звезда, небесное тело, мерцающая точка, ночная звезда, космический объект, светящаяся точка
la terre, земля, почва, планета, грунт, земная поверхность, суша
la mer, море, водная гладь, морская стихия, солёная вода, морские просторы, океанская часть
l'océan, океан, морская пучина, огромная вода, синяя бездна, мировой океан, водная стихия
la rivière, река, речной поток, водная артерия, текущая вода, речное русло, пресная река
le fleuve, река, большая река, широкая река, речной поток, главная река, речное русло
le lac, озеро, водоём, стоячая вода, лесное озеро, голубая гладь, пресный водоём
la montagne, гора, горная вершина, высокая гора, горный массив, скалистый пик, возвышенность
la colline, холм, небольшой холм, зелёный холм, возвышенность, пологий подъём, невысокая гора
la vallée, долина, речная долина, низина, зелёная низина, межгорье, широкая впадина
la forêt, лес, лесной массив, густой лес, древесный массив, зелёные заросли, чаща
l'arbre, дерево, древесное растение, ствол с кроной, лесное дерево, высокое растение, лиственное дерево
la fleur, цветок, цветочное растение, яркий цветок, лепестковый цветок, садовый цветок, благоухающий цветок
l'herbe, трава, зелёная трава, газонная трава, луговая трава, растительный покров, сочная зелень
la feuille, лист, древесный лист, зелёный лист, опавший лист, растительный лист, листовая пластинка
la branche, ветка, древесная ветвь, сук, боковой побег, дерево с ветвями, древесный отросток
la racine, корень, подземная часть, корневая система, основание растения, питающий корень, глубокий корень
le rocher, скала, каменная глыба, горная скала, твёрдый камень, утёс, каменное образование
le sable, песок, песчаная поверхность, морской песок, мелкий песок, пляжный песок, сыпучий материал
la pierre, камень, каменная глыба, твёрдый камень, строительный камень, булыжник, горная порода
le vent, ветер, воздушный поток, дуновение, сильный ветер, бриз, атмосферное движение
la pluie, дождь, дождевая вода, осадки, мокрый дождь, ливень, атмосферные осадки
la neige, снег, белый снег, снежный покров, зимние осадки, пушистый снег, холодный осадок
la grêle, град, ледяной град, ледяные шарики, сильный град, градовые осадки, ледяной дождь
le brouillard, туман, густой туман, дымка, низкая видимость, утренний туман, серое облако у земли
le tonnerre, гром, раскат грома, громовой удар, грозовой звук, громкий раскат, небесный грохот
l'éclair, молния, вспышка молнии, грозовая молния, яркая вспышка, электрический разряд, небесная искра
l'orage, гроза, грозовой фронт, сильная гроза, буря с громом, ненастная погода, штормовой дождь
le temps, погода, климат, атмосферные условия, прогноз погоды, текущее состояние неба, метеорология
la température, температура, тепловой режим, градусы тепла, холод или жара, показатель тепла, климатический показатель
le degré, градус, температурная отметка, единица измерения, угол, степень, мера тепла
le nord, север, северное направление, верх карты, холодный север, полярный север, компасный север
le sud, юг, южное направление, тёплый юг, нижняя часть карты, солнечный юг, компасный юг
l'est, восток, восточное направление, сторона восхода, утренний восток, компасный восток, правая сторона карты
l'ouest, запад, западное направление, сторона заката, вечерний запад, компасный запад, левая сторона карты
la gauche, левая сторона, левый бок, направление влево, левая рука, левый край, противоположность правой
la droite, правая сторона, правый бок, направление вправо, правая рука, правый край, противоположность левой
devant, впереди, передняя часть, спереди, перед лицом, в передней зоне, напротив
derrière, сзади, задняя часть, позади, за спиной, в задней зоне, с обратной стороны
près de, рядом, близко, возле, поблизости, в непосредственной близости, около
loin de, далеко, вдали, на расстоянии, отдалённо, в отдалении, на большом удалении
à côté de, рядом с, возле, сбоку, по соседству, впритык, бок о бок
en face de, напротив, прямо напротив, через дорогу, лицом к лицу, на противоположной стороне, vis-à-vis
au milieu de, посередине, в центре, среди, в середине, в самой гуще, по центру
autour de, вокруг, по кругу, в окружении, со всех сторон, в кольце, окружающий  la ville, город, крупный город, городской центр, мегаполис, урбанизированная зона, городской массив
le village, деревня, небольшой посёлок, сельское поселение, тихая деревня, сельский населённый пункт, маленькое село
la banlieue, пригород, окраина города, спальный район, ближний пригород, городская окраина, suburban-зона
le centre, центр, центральная часть, downtown, городской центр, сердце города, главная зона
le quartier, район, городской район, жилой квартал, микрорайон, часть города, локальная зона
la rue, улица, городская улица, проезжая часть, пешеходная улица, асфальтированная дорога, магистраль
l'avenue, авеню, широкая улица, проспект, главная улица, бульварная улица, торжественная магистраль
le boulevard, бульвар, широкий проспект, озеленённая улица, городская аллея, центральный бульвар, прогулочная зона
la place, площадь, городская площадь, открытое пространство, центральная площадь, общественное место, сквер
le parc, парк, городской парк, зелёная зона, место отдыха, садово-парковая зона, природный уголок в городе
le pont, мост, переправа, речной мост, сооружение над водой, виадук, переход
le tunnel, тоннель, подземный проход, подземный туннель, транспортный тоннель, подземная галерея, проезд под землёй
la gare, вокзал, железнодорожный вокзал, станция, транспортный узел, пассажирский вокзал, место отправления поездов
l'aéroport, аэропорт, воздушный порт, аэровокзал, место полётов, аэропортный комплекс, взлётно-посадочная зона
le port, порт, морской порт, гавань, причал, место стоянки судов, морской терминал
la station, станция, остановка, транспортная станция, метро-станция, пункт остановки, пересадочный узел
le métro, метро, подземка, метрополитен, подземный транспорт, городская подземка, рельсовый подземный транспорт
le bus, автобус, городской автобус, общественный транспорт, маршрутный автобус, рейсовый автобус, большой автобус
le tramway, трамвай, рельсовый трамвай, городской трамвай, электрический трамвай, рельсовый транспорт, вагон на рельсах
le taxi, такси, легковое такси, служба такси, пассажирский автомобиль, наёмный транспорт, жёлтое такси
le vélo, велосипед, двухколёсный транспорт, педальный велосипед, городской велосипед, экологичный транспорт, велосипедный транспорт
la moto, мотоцикл, двухколёсный моторный транспорт, байк, мощный мотоцикл, скоростной транспорт, мотороллер
la voiture, автомобиль, легковой автомобиль, машина, личный транспорт, четырёхколёсное средство, авто
le camion, грузовик, грузовой автомобиль, фура, большой грузовик, транспорт для грузов, тяжёлый автомобиль
le train, поезд, железнодорожный состав, пассажирский поезд, рельсовый транспорт, скоростной поезд, вагонный состав
l'avion, самолёт, воздушное судно, лайнер, реактивный самолёт, летательный аппарат, крылатая машина
le bateau, лодка, судно, катер, речное судно, плавсредство, водный транспорт
le navire, корабль, морское судно, большой корабль, океанский лайнер, морской транспорт, плавучее средство
le pilote, пилот, авиатор, лётчик, командир воздушного судна, управляющий самолётом, воздушный водитель
le conducteur, водитель, шофёр, оператор транспорта, управляющий автомобилем, водительский состав, рулевой
le passager, пассажир, путешественник, ездок, клиент транспорта, сидящий пассажир, перевозимый человек
le voyage, путешествие, поездка, тур, дальняя поездка, странствие, путь
le trajet, маршрут, путь следования, дорога, отрезок пути, маршрут движения, переезд
le billet, билет, проездной документ, входной билет, посадочный талон, транспортный билет, квиток
le bagage, багаж, дорожные вещи, чемоданы, груз путешественника, поклажа, вещи в дорогу
la valise, чемодан, дорожный чемодан, багажный чемодан, ручная кладь, большой чемодан, дорожная сумка
le passeport, паспорт, заграничный паспорт, документ личности, удостоверение личности, международный документ, паспортный документ
la douane, таможня, таможенный контроль, пограничный пункт, досмотр, таможенная служба, граница
le médecin, врач, доктор, медицинский специалист, лечащий врач, медик, доктор медицины
l'infirmier, медбрат, медсестра, медицинский работник, помощник врача, больничный персонал, санитар
le dentiste, стоматолог, зубной врач, дантист, специалист по зубам, зубной доктор, ортодонт
le pharmacien, фармацевт, аптекарь, специалист по лекарствам, провизор, работник аптеки, продавец медикаментов
l'hôpital, больница, медицинское учреждение, стационар, клиника, лечебное заведение, госпиталь
la clinique, клиника, медицинский центр, частная клиника, лечебница, амбулатория, медицинское отделение
l'enseignant, учитель, преподаватель, школьный учитель, педагог, наставник, воспитатель
le professeur, профессор, преподаватель вуза, учитель высшей школы, лектор, академический преподаватель, учёный-педагог
l'étudiant, студент, учащийся вуза, курсант, обучающийся, университетский студент, молодой специалист
l'élève, ученик, школьник, учащийся школы, воспитанник, школьный ребёнок, обучающийся в классе
le directeur, директор, руководитель, начальник, глава учреждения, управляющий, директор школы
le manager, менеджер, управляющий, руководитель команды, администратор, бизнес-менеджер, организатор
l'employé, сотрудник, работник, штатный сотрудник, служащий, офисный работник, наёмный сотрудник
le collègue, коллега, сослуживец, товарищ по работе, партнёр по работе, сотрудник, рабочий товарищ
le client, клиент, покупатель, заказчик, посетитель, потребитель услуги, гость заведения
le vendeur, продавец, торговец, консультант в магазине, реализатор, работник торговли, кассир-продавец
l'artisan, ремесленник, мастер, кустарь, умелец, ручной мастер, специалист ручного труда
l'ingénieur, инженер, технический специалист, конструктор, разработчик, технический работник, проектировщик
l'architecte, архитектор, проектировщик зданий, строительный дизайнер, зодчий, автор проекта, планировщик
l'avocat, адвокат, юрист, правозащитник, защитник в суде, правовой консультант, судебный представитель
le juge, судья, судебный работник, арбитр, лицо правосудия, председатель суда, вершитель закона
le policier, полицейский, сотрудник полиции, страж порядка, офицер полиции, правоохранитель, милиционер
le pompier, пожарный, спасатель, огнеборец, сотрудник МЧС, тушитель пожаров, аварийный спасатель
le soldat, солдат, военнослужащий, воин, рядовой, защитник родины, военный человек
le cuisinier, повар, шеф-повар, кулинар, кухонный работник, специалист по приготовлению пищи, ресторатор
le serveur, официант, работник ресторана, подавальщик, обслуживающий персонал, ресторанный работник, бармен
le coiffeur, парикмахер, мастер по волосам, стилист, барбер, специалист по причёскам, визажист волос
le mécanicien, механик, автослесарь, ремонтник, технический специалист, мастер по ремонту, наладчик
l'agriculteur, фермер, земледелец, сельхозработник, аграрий, крестьянин, работник поля
le jardinier, садовник, озеленитель, специалист по растениям, работник сада, цветовод, ландшафтный мастер
le chanteur, певец, вокалист, исполнитель песен, солист, артист вокала, музыкальный исполнитель
le musicien, музыкант, инструменталист, исполнитель музыки, оркестрант, композитор-исполнитель, артист музыки
l'acteur, актёр, артист, исполнитель роли, театральный актёр, киноактёр, сценический исполнитель
l'écrivain, писатель, автор книг, литератор, сочинитель, книжный автор, прозаик
le journaliste, журналист, репортёр, корреспондент, работник СМИ, новостной журналист, обозреватель
le photographe, фотограф, мастер фото, фоторепортёр, специалист по съёмке, автор снимков, фотохудожник
l'artiste, художник, творец, артист, мастер искусств, креативный человек, деятель искусства
le scientifique, учёный, научный работник, исследователь, специалист науки, академик, экспериментатор
le chercheur, исследователь, научный сотрудник, изыскатель, учёный-исследователь, лаборант, аналитик
l'astronaute, космонавт, астронавт, космический пилот, покоритель космоса, работник космоса, звездолётчик
le marin, моряк, матрос, морской специалист, корабельный работник, флотский служащий, мореход
le pêcheur, рыбак, ловец рыбы, рыболов, морской рыбак, промысловик, удильщик
le chasseur, охотник, преследователь, добытчик, лесной охотник, стрелковый охотник, промысловый охотник
l'ambulance, скорая помощь, машина скорой помощи, медицинский транспорт, реанимационный автомобиль, спасательный транспорт, карета скорой
la police, полиция, органы правопорядка, правоохранительные органы, милиция, полицейская служба, стражи закона
la caserne, казарма, пожарная часть, военная казарма, станция пожарных, место дежурства, служебное здание
la prison, тюрьма, исправительное учреждение, место заключения, камера, колония, пенитенциарное заведение
le tribunal, суд, судебное учреждение, зал суда, орган правосудия, судебная инстанция, место разбирательства
l'église, церковь, храм, христианский храм, собор, место богослужения, религиозное здание
la mosquée, мечеть, мусульманский храм, исламская мечеть, место молитвы, восточный храм, религиозное сооружение
la synagogue, синагога, еврейский храм, иудейская синагога, место молитвы, религиозное здание, еврейский дом молитвы
le temple, храм, древний храм, религиозное сооружение, святилище, культовое здание, место поклонения
le cimetière, кладбище, место захоронения, погост, могильник, некрополь, место упокоения
le monument, памятник, монумент, мемориал, исторический памятник, скульптурный памятник, архитектурный объект
le musée, музей, выставочный зал, культурное учреждение, галерея, собрание экспонатов, музейный комплекс
le théâtre, театр, драматический театр, сценическое искусство, здание театра, место спектаклей, зрительный зал
le cinéma, кинотеатр, кинозал, место просмотра фильмов, кинематограф, кино, зал для сеансов
le restaurant, ресторан, заведение общепита, место питания, кафе-ресторан, гастрономическое заведение, столовая высшего уровня
le café, кафе, кофейня, место отдыха, кофейное заведение, маленькое кафе, место для напитков
le bar, бар, питейное заведение, коктейльный бар, место для алкоголя, ночной бар, стойка с напитками
l'hôtel, отель, гостиница, место проживания, туристический отель, гостиничный комплекс, место для гостей
la banque, банк, финансовое учреждение, кредитное учреждение, место хранения денег, банковский офис, финансовая организация
le magasin, магазин, торговый магазин, розничный магазин, торговая точка, супермаркет, место покупок
le supermarché, супермаркет, большой магазин, гипермаркет, самообслуживание, продовольственный магазин, крупный торговый центр
la boulangerie, булочная, пекарня, место продажи хлеба, хлебный магазин, свежая выпечка, хлебопекарня
la pâtisserie, кондитерская, место продажи сладостей, пирожная лавка, десертный магазин, кондитерский магазин, сладкая выпечка
la pharmacie, аптека, аптечный пункт, место продажи лекарств, медицинский магазин, фармацевтический магазин, аптечный киоск
la poste, почта, почтовое отделение, место отправки писем, почтовый офис, служба доставки, почтовое учреждение
le bureau de poste, почтовое отделение, почта, пункт приёма отправлений, почтовый офис, служба почты, место для посылок
le marché, рынок, базар, торговый рынок, уличный рынок, продовольственный рынок, место торговли
la foire, ярмарка, выставка-ярмарка, праздничная ярмарка, торговое событие, фестиваль торговли, народная ярмарка
le stade, стадион, спортивный стадион, футбольный стадион, место соревнований, спортивная арена, трибуны
la piscine, бассейн, плавательный бассейн, место для плавания, крытый бассейн, водный комплекс, аквазона
la plage, пляж, морской пляж, песчаный берег, место отдыха у воды, береговая линия, зона купания
la montagne, гора, горный массив, высокогорье, скалистая гора, туристическая гора, альпийский пик
la campagne, деревня, сельская местность, природа, загородная зона, сельский ландшафт, тихая провинция  
parler, говорить, беседовать, рассказывать, общаться, вести разговор, излагать
discuter, обсуждать, вести дискуссию, спорить, беседовать, обмениваться мнениями, дискутировать
converser, беседовать, разговаривать, общаться, вести беседу, обмениваться словами, разговаривать
dialoguer, диалогизировать, вести диалог, общаться, обмениваться репликами, разговаривать вдвоём, вступать в диалог
s'exprimer, выражаться, высказываться, передавать мысли, формулировать, излагать свои мысли, проявлять себя
communiquer, общаться, передавать информацию, связываться, делиться, устанавливать связь, информировать
annoncer, объявлять, сообщать, анонсировать, заявлять, информировать публично, оглашать
déclarer, заявлять, объявлять, провозглашать, утверждать, делать заявление, декларировать
affirmer, утверждать, подтверждать, заявлять уверенно, настаивать, декларировать, уверенно говорить
nier, отрицать, опровергать, отказываться, отвергать, не признавать, противоречить
confirmer, подтверждать, заверять, удостоверять, подкреплять, утверждать, верифицировать
révéler, раскрывать, обнаруживать, показывать, разоблачать, выявлять, открывать
avouer, признаваться, сознаваться, исповедоваться, откровенничать, говорить правду, каяться
mentionner, упоминать, отмечать, ссылаться, называть, касаться, приводить
rappeler, напоминать, вспоминать, вызывать в память, возвращать, припоминать, освежать в памяти
rassurer, успокаивать, утешать, обнадёживать, снимать тревогу, придавать уверенность, подбадривать
consoler, утешать, успокаивать, поддерживать, облегчать боль, сочувствовать, смягчать страдание
encourager, поощрять, мотивировать, вдохновлять, подбадривать, стимулировать, поддерживать морально
motiver, мотивировать, вдохновлять, побуждать, стимулировать, воодушевлять, давать стимул
inspirer, вдохновлять, воодушевлять, мотивировать, вызывать вдохновение, побуждать, внушать
impressionner, впечатлять, поражать, удивлять, производить впечатление, поражать воображение, вызывать восхищение
étonner, удивлять, поражать, изумлять, ошеломлять, вызывать удивление, шокировать
surprendre, удивлять, поражать, застать врасплох, ошеломлять, изумлять, захватывать неожиданно
choquer, шокировать, возмущать, потрясать, оскорблять, вызывать шок, травмировать
inquiéter, беспокоить, тревожить, волновать, вызывать тревогу, беспокоить ум, нервировать
préoccuper, беспокоить, занимать мысли, тревожить, волновать, поглощать внимание, вызывать озабоченность
tracasser, беспокоить, тревожить, докучать, волновать, изводить, мучить
agacer, раздражать, досаждать, нервировать, бесить, вызывать раздражение, выводить из себя
irriter, раздражать, вызывать гнев, злить, провоцировать, воспалять, нервировать
exaspérer, выводить из себя, бесить, раздражать сильно, доводить до бешенства, изводить, крайне раздражать
provoquer, провоцировать, вызывать, подстрекать, бросать вызов, стимулировать, возбуждать
déclencher, запускать, вызывать, приводить в действие, инициировать, начинать, провоцировать
causer, вызывать, порождать, быть причиной, создавать, приводить к, становиться источником
provenir, происходить, быть родом, вытекать, происходить из, брать начало, возникать
résulter, следовать, вытекать, являться результатом, происходить, получаться, быть следствием
dépendre, зависеть, обусловливаться, полагаться, быть зависимым, определяться, находиться в зависимости
concerner, касаться, относиться, затрагивать, иметь отношение, вовлекать, быть связанным
impliquer, подразумевать, вовлекать, означать, влечь за собой, предполагать, включать
supposer, предполагать, допускать, считать, полагать, воображать, принимать за истину
présumer, предполагать, считать вероятным, допускать, полагать, подозревать, принимать на веру
estimer, оценивать, считать, полагать, определять стоимость, ценить, рассчитывать
évaluer, оценивать, определять, измерять, анализировать, рассчитывать, судить
apprécier, ценить, оценивать, наслаждаться, уважать, любить, признавать ценность
admirer, восхищаться, восторгаться, уважать, любоваться, ценить высоко, преклоняться
respecter, уважать, почитать, соблюдать, ценить, относиться с уважением, чтить
honorer, почитать, уважать, удостаивать, прославлять, чествовать, воздавать почести
célébrer, праздновать, отмечать, чествовать, прославлять, устраивать праздник, воздавать хвалу
commémorer, commemorровать, вспоминать, отмечать память, увековечивать, почитать память, праздновать годовщину
souvenir, вспоминать, припоминать, держать в памяти, помнить, вызывать воспоминание, хранить в памяти
se rappeler, вспоминать, припоминать, возвращать в память, держать в голове, освежать память, припомнить
évoquer, вызывать, напоминать, упоминать, пробуждать воспоминания, наводить на мысль, воскрешать
remémorer, вспоминать, припоминать, освежать в памяти, возвращать воспоминания, перебирать в памяти, воскрешать
oublier, забывать, упускать из виду, терять из памяти, не помнить, пропускать, оставлять без внимания
négliger, пренебрегать, игнорировать, упускать, относиться небрежно, оставлять без внимания, не заботиться
ignorer, игнорировать, не знать, не обращать внимания, пропускать, оставлять без ответа, не замечать
méconnaître, недооценивать, не узнавать, плохо знать, ошибаться в оценке, не признавать, игнорировать
distinguer, различать, выделять, распознавать, отделять, видеть разницу, дифференцировать
différencier, дифференцировать, различать, отделять, выделять различия, проводить различие, разграничивать
discerner, различать, распознавать, воспринимать, замечать, видеть чётко, улавливать
percevoir, воспринимать, замечать, ощущать, чувствовать, улавливать, понимать
ressentir, чувствовать, ощущать, переживать, испытывать, воспринимать эмоционально, реагировать
éprouver, испытывать, переживать, ощущать, переносить, чувствовать на себе, проверять
